environment,robot_number,iteration,value1,value2
bidirectional,0,55,-5.689752663764892,5.689752663764892
bidirectional,0,56,-0.7062218572004895,0.7062218572004895
bidirectional,0,57,1.985300234738986,-1.985300234738986
bidirectional,0,58,-1.9891775666637557,1.9891775666637557
bidirectional,0,59,-0.5702072740704551,0.5702072740704551
bidirectional,0,60,-2.885848520480252,2.885848520480252
bidirectional,0,61,16.70252474982307,-16.70252474982307
bidirectional,0,62,23.34746875293517,-23.34746875293517
bidirectional,0,63,46.25379033354835,-46.25379033354835
bidirectional,0,64,4.569794943290745,-4.569794943290745
bidirectional,0,65,-5.641443646605666,5.641443646605666
bidirectional,0,66,6.094719807074512,-6.094719807074512
bidirectional,0,67,-0.5267701795126527,0.5267701795126527
bidirectional,0,68,-0.8378688934808594,0.8378688934808594
bidirectional,0,69,-0.6459637732575771,0.6459637732575771
bidirectional,0,70,16.21855154081021,-16.21855154081021
bidirectional,0,71,23.549748950554388,-23.549748950554388
bidirectional,0,72,-0.19402616575449372,0.19402616575449372
bidirectional,0,73,12.383941110305571,-12.383941110305571
bidirectional,0,74,-0.20038980782561566,0.20038980782561566
bidirectional,0,75,-1.2717474624427751,1.2717474624427751
bidirectional,0,76,21.03889314602182,-21.03889314602182
bidirectional,0,77,-0.8881224515095738,0.8881224515095738
bidirectional,0,78,7.633865428112983,-7.633865428112983
bidirectional,0,79,8.42240336082186,-8.42240336082186
bidirectional,0,80,-0.20448699343148746,0.20448699343148746
bidirectional,0,81,-5.34341977957601,5.34341977957601
bidirectional,0,82,15.962854808530267,-15.962854808530267
bidirectional,0,83,12.679509151392224,-12.679509151392224
bidirectional,0,84,2.1467537873805043,-2.1467537873805043
bidirectional,0,85,-0.46436395003544817,0.46436395003544817
bidirectional,0,86,6.563526454053218,-6.563526454053218
bidirectional,0,87,5.378872865062391,-5.378872865062391
bidirectional,0,88,2.371088466393644,-2.371088466393644
bidirectional,0,89,12.086094982043505,-12.086094982043505
bidirectional,0,90,-1.9495894847130728,1.9495894847130728
bidirectional,0,91,-1.3789540672543552,1.3789540672543552
bidirectional,0,92,6.1212024591550716,-6.1212024591550716
bidirectional,0,93,29.28221763648631,-29.28221763648631
bidirectional,0,94,12.075437496323673,-12.075437496323673
bidirectional,0,95,2.9541044507412977,-2.9541044507412977
bidirectional,0,96,48.4537204295811,-48.4537204295811
bidirectional,0,97,-0.610254936353769,0.610254936353769
bidirectional,0,98,22.94543504891105,-22.94543504891105
bidirectional,0,99,-2.542075806688331,2.542075806688331
bidirectional,1,0,-9.79236333483486,9.79236333483486
bidirectional,1,1,-6.038305820682069,6.038305820682069
bidirectional,1,2,-0.9563458877237281,0.9563458877237281
bidirectional,1,3,-1.4230942897348342,1.4230942897348342
bidirectional,1,4,-5.501204105470109,5.501204105470109
bidirectional,1,5,-30.785331601813184,30.785331601813184
bidirectional,1,6,-10.209220822609296,10.209220822609296
bidirectional,1,7,-12.530680682043837,12.530680682043837
bidirectional,1,8,-10.222390450696423,10.222390450696423
bidirectional,1,9,-13.582641979222714,13.582641979222714
bidirectional,1,10,-6.684467038225378,6.684467038225378
bidirectional,1,11,0.06705088305606921,-0.06705088305606921
bidirectional,1,12,-0.8325605112479053,0.8325605112479053
bidirectional,1,13,-7.745886092390663,7.745886092390663
